nl_cereal_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_98	   535.621648504	    78.391992076	     2.898897184
nl_cereal_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_98	  1066.557079790	    96.558188696	     4.547603647
nl_cereal_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_392	  2560.888238942	   107.829494823	     0.178954357
nl_cereal_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_441	  2394.248106159	    96.794816541	     0.106469387
nl_cereal_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_98	   435.643901454	    79.728369597	     2.899222213
nl_cereal_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_147	   475.788998552	    76.697828721	     5.220321086
nl_cereal_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_147	   883.594245942	    90.184100500	     5.940626784
nl_cereal_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0	  1475.319461109	    91.179580965	     3.036863551	 0
nl_cereal_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_196	   396.457386779	    81.787548776	     7.113157459
nl_cereal_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_147	   343.290477874	    73.426494809	     5.221283971
nl_cereal_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_196	   528.972244816	    87.639345184	     9.189349077
nl_cereal_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_245	   816.391959762	    89.241407926	     8.316227101
nl_cereal_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_245	   377.669462157	    72.334328653	     5.150871217
nl_juice_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0	  1076.181024243	    93.195114716	     2.933263009
nl_cereal_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_196	   320.627992225	    74.246523958	     7.102880499
nl_cereal_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_294	   581.218574365	    85.138263274	     6.827174101
nl_cereal_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_294	   346.220246924	    73.090170453	     7.033217821
nl_cereal_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_245	   328.544516545	    75.236185912	     5.154158780
nl_juice_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_51	   995.329251763	    94.781939411	     3.261716133
nl_cereal_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_343	  1431.311704243	   102.692531778	     4.310927521
nl_cereal_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_343	   819.299067085	    96.127926239	     3.225511873
nl_cereal_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_392	  1498.357644740	   100.263396631	     2.054268537
nl_cereal_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_392	  1025.483852093	    99.247900038	     0.120324979
nl_cereal_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_294	   234.205022166	    66.597865894	     7.051944060
nl_cereal_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_441	  2180.095245757	   108.862148536	     2.052416409
nl_juice_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_102	   683.993347123	    86.461980904	     3.628595190
nl_cereal_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_441	  1217.769952119	    95.484011486	     0.084533931
nl_cereal_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_343	   711.791118118	    84.829656120	     3.225922527
nl_juice_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_153	   634.342798339	    86.514286471	     5.845912958
nl_cereal_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_392	   812.680133952	    92.587535931	     0.120198211
nl_cereal_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0	  1331.825717620	    94.003071639	     4.053810725	 0
nl_cereal_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_441	   902.084683470	    82.727869214	     0.084503151
nl_cereal_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0	   764.609336263	    82.819476121	     2.335297356	 0
nl_juice_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_204	   640.286533740	    86.461081556	     5.638151931
nl_juice_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0	   811.439542423	    83.743732683	     3.012125846
nl_juice_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_255	   843.690461047	    84.979966824	     2.935185148
nl_cereal_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0	   623.410892076	    84.952593414	     2.335597653	 0
nl_juice_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0	   302.847790425	    63.635507579	     2.145958180
nl_juice_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_306	   561.602639328	    79.832209789	     3.788264576
nl_juice_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_51	   729.657101009	    85.938819463	     3.143074213
nl_juice_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_357	   751.502068772	    92.826163655	     6.121659611
nl_juice_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0	   265.873562227	    67.897293047	     2.153678193
nl_juice_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_408	  2216.599654614	   114.351557074	     1.007794450
nl_juice_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_102	   525.262228011	    86.633307956	     3.294329908
