nl_bookII_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_45	   761.710354430	   108.563761323	     6.077143612
nl_bookII_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_90	   757.682587595	   117.921618234	     8.305484893
nl_mugI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_76	   893.736713867	   124.041121140	     2.245236606
nl_bookII_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_135	   715.222461683	   117.068775013	     6.219523602
nl_mugI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_114	   794.202308602	   115.966989133	    89.756570815
nl_bookII_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_180	   760.623209734	   116.606727032	    70.237801548
nl_bookII_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_225	   751.893011079	   127.647567767	     6.413992418
nl_mugI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_152	   924.041808048	   129.865385849	     2.718352451
nl_bookII_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_270	   663.414756941	   116.083289829	     5.127549503
nl_mugI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_190	   746.692894359	   112.173392011	     3.986695219
nl_bookII_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_315	   804.245694538	   111.402389166	     6.025892168
nl_bookII_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_360	   668.845340289	   121.736396822	     5.337280707
nl_mugI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_228	   872.872744071	   128.621981116	     2.352956838
